AARON SCHOCK,Provided legal services for,ANNIE DONALDSON,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
AARON SCHOCK,McGahn provided legal services for Schock,DON MCGAHN,https://www.documentcloud.org/documents/3535093-McGahn-Donald-F.html
ALEXANDER NIX,Pascale says he hired Nix's company Cambridge Analytica to work on the campaign,BRAD PARSCALE,https://www.washingtonpost.com/politics/trumps-plan-for-a-comeback-includes-building-a-psychographic-profile-of-every-voter/2016/10/27/9064a706-9611-11e6-9b7c-57290af48a49_story.html?utm_term=.ec091285ddc0
ALLEN WEISSELBERG,Parent/child,JACK WEISSELBERG,https://www.nytimes.com/2016/05/24/business/dealbook/donald-trump-relationship-bankers.html?_r=0
ANAR MAMMADOV,Parent/child,ZIYA MAMMADOV,https://www.meydan.tv/en/site/politics/13787/
ANDREW BREMBERG,Bremberg "is a lifelong friend" of Ferguson a former U.S. House representative per Stat,MIKE FERGUSON,https://www.statnews.com/2016/11/15/trump-influencers-health-care/
ANDREW BREMBERG,Policy advisor and counsel on nominations,MITCH MCCONNELL,https://www.linkedin.com/in/andrew-bremberg-7170938
ANDREW BREMBERG,Policy director for Walker's campaign,SCOTT WALKER,http://www.modernhealthcare.com/article/20161111/NEWS/161119989?utm_source=modernhealthcare&utm_medium=email&utm_content=20161111-NEWS-161119989&utm_campaign=mh-alert
ANDY PUZDER,Worked together on deal to turn around debts of Carl's Jr. founder which was a major success in Puzder's career,WILLIAM P. FOLEY,http://www.insidesources.com/meet-the-fast-food-ceo-trump-picked-as-labor-secretary/
ANTHONY SCARAMUCCI,Met at Davos,KIRILL DMITRIEV,https://www.bloomberg.com/politics/articles/2017-01-17/in-davos-trump-aide-talks-deals-with-sanctioned-kremlin-fund
AVRAM LEBOR,Kushner hired him for his real estate company,JARED KUSHNER,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
BEN CARSON,Bennet was Carson's presidential campaign manager,BARRY BENNETT,https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
BENY STEINMETZ,Siblings,DANIEL STEINMETZ,https://www.bloomberg.com/news/articles/2017-04-26/kushners-are-partners-with-one-of-israel-s-wealthiest-families
BILL STEPIEN,Marino served as Stepien's attorney during the Bridgegate trial,KEVIN MARINO,http://www.politico.com/story/2017/01/bill-stepien-donald-trump-christie-233199
CARTER PAGE,Foreign policy adviser,DONALD J. TRUMP,General knowledge
CHARLES KUSHNER,"has long worked with" Kushner per New York Magazine,ALAN HAMMER,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,Longtime family friends per Reuters,BENJAMIN NETANYAHU,http://www.reuters.com/article/us-usa-trump-israel-scene-idUSKBN15U2PA
CHARLES KUSHNER,Parent/child,DARA ORBACH,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHARLES KUSHNER,Siblings,ESTHER KUSHNER,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,"the financial force" behind the former governor's campaign per New York Magazine,JIM MCGREEVEY,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,Parent/child,JOSHUA KUSHNER,General knowledge
CHARLES KUSHNER,Siblings,MURRAY KUSHNER,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,Parent/child,NICOLE KUSHNER MEYER,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHARLES KUSHNER,Married,SERYL KUSHNER,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHLOE MURDOCH,Former trustee,IVANKA TRUMP,https://www.ft.com/content/a615f0ce-ed90-11e6-930f-061b01e23655
CHRIS CHRISTIE,Former deputy chief of staff,BILL STEPIEN,http://www.politico.com/story/2017/01/bill-stepien-donald-trump-christie-233199
CHRIS CHRISTIE,Christie and Wildstein went to high school together and Christie appointed Wildstein to a director position at the Port Authority,DAVID WILDSTEIN,http://nymag.com/daily/intelligencer/2016/09/david-wildstein-chris-christie-bridgegate-trial.html
DANIEL RIDLOFF,Ridloff "agreed to serve as [a director] of a company through which [Kudryashova] would pour $3m into a business venture as part of her efforts to secure a US investor visa" per the Financial Times,ELVIRA KUDRYASHOVA,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
DAVID H. KOCH,Siblings,CHARLES G. KOCH,http://www.forbes.com/profile/koch/
DAVID S. CORDISH,Parent/child,REED S. CORDISH,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
DON MCGAHN,Special Counsel to the President Chief of Staff to the White House Counsel,ANNIE DONALDSON,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DON MCGAHN,Special assistant to the White House Counsel,BLAKE DELAPLANE,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DON MCGAHN,Associate Counsel to the President,DAVID MORRELL,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DON MCGAHN,Deputy Counsel to the President,GREG KATSAS,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DON MCGAHN,Senior associate counsel,JAMES BURNHAM,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DONALD J. TRUMP,Director of policy implementation for Trump transition team,ADO MACHIDA,http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/ | https://www.linkedin.com/in/ado-machida-68a9a64
DONALD J. TRUMP,Appointed chairman of the Federal Communications Commission,AJIT PAI,http://www.usatoday.com/story/tech/news/2017/01/23/new-fcc-chairman-ajit-pai-no-net-neutrality-fan/96967372/
DONALD J. TRUMP,"Trump’s primary partner for his lucrative business in Canada" per Newsweek,ALEX SHNAIDER,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD J. TRUMP,Nominee for Labor Secretary,ALEXANDER ACOSTA,http://abcnews.go.com/Politics/alexander-acosta-trumps-labor-secretary-nominee/story?id=45541559
DONALD J. TRUMP,Special assistant,ALEXANDER ANGELSON,https://www.documentcloud.org/documents/3534231-Angelson-Alexander.html
DONALD J. TRUMP,Special assistant,ALEXANDER GRAY,https://www.documentcloud.org/documents/3534083-Gray-Alexander.html
DONALD J. TRUMP,Worked on presidential campaign. May continue work for the administration.,ALEXANDER NIX,https://www.theguardian.com/us-news/2016/nov/23/donald-trump-cambridge-analytica-steve-bannon
DONALD J. TRUMP,"One of Donald Trump's longtime confidants" per the Wall Street Journal,ALLEN WEISSELBERG,http://blogs.wsj.com/cfo/2016/11/05/donald-trumps-loyal-numbers-man/
DONALD J. TRUMP,Special assistant,ANDELIZ CASTILLO,https://www.documentcloud.org/documents/3534453-Castillo-Andeliz.html
DONALD J. TRUMP,Domestic policy advisor,ANDREW BREMBERG,General knowledge
DONALD J. TRUMP,Special assistant,ANDREW D. KOENIG,https://www.documentcloud.org/documents/3534057-Koenig-Andrew-D.html
DONALD J. TRUMP,Former nominee for Secretary of Labor,ANDY PUZDER,General knowledge
DONALD J. TRUMP,Considered for senior adviser to the President position,ANTHONY SCARAMUCCI,https://mobile.nytimes.com/2017/02/01/us/politics/anthony-scaramucci-china-trump-administration.html
DONALD J. TRUMP,The billionaire real estate developer says he befriended Trump and also has served as a liaison between Trump and Putin,ARAS AGALAROV,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | http://www.forbes.com/profile/aras-agalarov/
DONALD J. TRUMP,Chief of staff of the National Economic Council,ASHLEY MARQUIS,https://www.documentcloud.org/documents/3534134-Marquis-Ashley.html
DONALD J. TRUMP,"Informal advisor to the Donald Trump campaign" per the Washington Post,BARRY BENNETT,https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
DONALD J. TRUMP,Secretary of HUD,BEN CARSON,General knowledge
DONALD J. TRUMP,Special assistant,BEN HOWARD,https://www.documentcloud.org/documents/3534135-Howard-Benjamin.html
DONALD J. TRUMP,Special assistant,BETHANY SCULLY,https://www.documentcloud.org/documents/3534336-Scully-Bethany.html
DONALD J. TRUMP,Secretary of Education,BETSY DEVOS,General knowledge
DONALD J. TRUMP,Deputy assistant,BILL MCGINLEY,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
DONALD J. TRUMP,White House political director,BILL STEPIEN,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,Assistant director of communications,BORIS EPSHTEYN,https://www.documentcloud.org/documents/3534046-Epshteyn-Boris.html
DONALD J. TRUMP,Former digital director for Trump campaign,BRAD PARSCALE,http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
DONALD J. TRUMP,Former driver,BRIAN BAUDREAU,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
DONALD J. TRUMP,Ambassador to Ireland,BRIAN BURNS,https://www.bostonglobe.com/news/politics/2017/01/11/donald-trump-taps-mar-lago-pal-with-massachusetts-ties-for-irish-ambassador-brian-burns/Jt2g5aX1CeVvA3O4RbrDMN/story.html
DONALD J. TRUMP,Special advisor,CARL C. ICAHN,http://fortune.com/2016/12/21/donald-trump-carl-icahn-special-adviser-regulations/
DONALD J. TRUMP,Deputy assistant,CARLOS DIAZ-ROSILLO,https://www.documentcloud.org/documents/3534022-Diaz-Rosillo-Carlos.html
DONALD J. TRUMP,Former leader of the presidential transition team,CHRIS CHRISTIE,https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
DONALD J. TRUMP,"Leader" in the transition team per CNN,CHRISTINE CICCONE,http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
DONALD J. TRUMP,"One of Trump's longtime friends" according to the Washington Post,CHRISTOPHER RUDDY,https://www.washingtonpost.com/news/powerpost/wp/2017/02/12/trump-friend-says-priebus-is-in-way-over-his-head/ | http://www.politico.com/story/2017/02/donald-trump-challenges-governing-presidency-234879
DONALD J. TRUMP,Special assistant,CINDY SIMMS,https://www.documentcloud.org/documents/3534338-Simms-Cindy.html
DONALD J. TRUMP,Director of White House message strategy,CLIFF SIMS,https://www.documentcloud.org/documents/3534339-Sims-Cliff.html
DONALD J. TRUMP,Former campaign manager,COREY LEWANDOWSKI,http://www.politico.com/blogs/on-media/2017/01/corey-lewandowski-joins-conservative-news-network-as-commentator-233559
DONALD J. TRUMP,Part of Treasury Department transition team,CURTIS DUBAY,http://thehill.com/policy/finance/307066-trump-taps-economists-investors-for-transition-team
DONALD J. TRUMP,Director of National Intelligence,DAN COATS,General knowledge
DONALD J. TRUMP,Director of Social Media White House,DAN SCAVINO,https://www.documentcloud.org/documents/3535097-Scavino-Dan.html
DONALD J. TRUMP,Ambassador designate to Israel,DAVID M. FRIEDMAN,https://www.nytimes.com/2017/02/11/us/politics/jared-kushner-israel.html?smid=tw-nytimesworld&smtyp=cur&_r=1
DONALD J. TRUMP,Friends,DAVID S. CORDISH,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
DONALD J. TRUMP,Secretary of Veterans Affairs,DAVID SHULKIN,http://www.usnews.com/news/national-news/articles/2017-02-09/10-things-you-didnt-know-about-david-shulkin
DONALD J. TRUMP,Assistant to the president and senior counselor for economic initiatives,DINA POWELL,https://www.bloomberg.com/politics/articles/2017-01-12/goldman-sachs-s-dina-powell-named-as-trump-s-economic-assistant
DONALD J. TRUMP,White House Counsel,DON MCGAHN,General knowledge
DONALD J. TRUMP,Parent/child,DONALD TRUMP JR.,General knowledge
