4 SHADOW TREE LANE MEMBER CORP.,Ownership,4 SHADOW TREE LANE LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL DEVELOPMENT ASSOCIATES LLC,Ownership,40 WALL STREET LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL STREET LLC,Ownership,40 WALL STREET COMMERCIAL LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL STREET MEMBER CORP.,Ownership,40 WALL STREET LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 MEZZ VENTURE LLC,Ownership,401 NORTH WABASH VENTURE LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 MEZZ VENTURE LLC,Ownership,TRUMP CHICAGO RETAIL LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 NORTH WABASH VENTURE LLC,Ownership,TRUMP COMMERCIAL CHICAGO LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 NORTH WABASH VENTURE LLC,Ownership,TRUMP PAYROLL CHICAGO LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
809 NORTH CANON MEMBER CORPORATION,Ownership,809 NORTH CANON LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ABERDEEN ASSET MANAGEMENT,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
ACADEMI,NKA/FKA,XE SERVICES LLC,https://www.washingtonpost.com/blogs/checkpoint-washington/post/ex-blackwater-firm-gets-a-name-change-again/2011/12/12/gIQAXf4YpO_blog.html?utm_term=.bd28e9699633
ACE ENTERTAINMENT HOLDINGS INC,NKA/FKA,TRUMP CASINOS INC.,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ACE ENTERTAINMENT HOLDINGS INC,NKA/FKA,TRUMP TAJ MAHAL INC.,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ADVISORS ASSET MANAGEMENT INC.,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
"AETOS SA,Licenses ""Trump"" name for Trump Tower Punta del Este,TRUMP MARKS PUNTA DEL ESTE LLC,http://www.trump.com/real-estate-portfolio/uruguay/trump-tower-punta-del-este/ | https://www.multihousingnews.com/post/100m-residential-trump-project-launched-in-uruguay-2/"
ALLIANCEBERNSTEIN LP,Owns collateralized debt,TRUMP TOWER COMMERCIAL LLC,Morningstar analysis
ALTEGRIS,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
ALTICOR,Subsidiary,AMWAY,http://www.alticor.com/FAQs.aspx
AMBOY BANK,Mortgage,TRUMP NATIONAL GOLF CLUB COLTS NECK LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
AMERICAN INTERNATIONAL GROUP INC.,Subsidiary,AIG GLOBAL REAL ESTATE INVESTMENT CORP.,http://www.aig.com/aig-global-real-estate
AMERICAN INTERNATIONAL GROUP INC.,Subsidiary,VALIC,https://www.valic.com/about-valic
AMG FUNDS,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
"ANBANG INSURANCE GROUP,""Anbang would become one of the equity partners in the [666 Fifth Avenue] redevelopment if an agreement is finalized"" per New York Times,KUSHNER COMPANIES,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html"
ANGEL OAK CAPITAL ADVISORS,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
ASSETMARK,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
AUGUST ERNST,Worked together to make a version of Trump Vodka for the Israeli market,H. PIXEL INTERNATIONAL,http://www.jpost.com/Not-Just-News/Podcast/Exclusive-Some-Trump-Vodka-popular-as-kosher-for-Passover-spirit-may-not-be-kosher-450568
AXA,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
"AZARPASSILLO,Azarpassillo is ""an Iranian construction giant that is controlled by the Guard"" per The New Yorker,IRANIAN REVOLUTIONARY GUARD CORPS,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal"
BAGHLAN GROUP,Baghlan Group is a stakeholder in Baku XXI Century,BAKU XXI CENTURY,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
BAGHLAN GROUP,Former owner,BANK OF AZERBAIJAN,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
BAIN & COMPANY,Investor,THAYER AEROSPACE CONSOLIDATED INC.,https://web.archive.org/web/20140516023111/http://www.bizjournals.com/wichita/stories/1998/12/14/story3.html
BANK HAPOALIM,Loaned money,KUSHNER COMPANIES,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
BANK OF AMERICA,Subsidiary,MERRILL LYNCH CREDIT CORPORATION,http://www.merrillhomeloans.com/mlhl/pages/home.aspx
BANK OF CHINA,Loaned money,1293 AVENUE OF THE AMERICAS A TENANCY-IN-COMMON,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
BANNON & CO.,Negotiated sale,CASTLE ROCK ENTERTAINMENT,https://qz.com/841601/steve-bannon-made-his-money-from-seinfeld-reruns/
BAYROCK GROUP,Bayrock received $50 million in financing from FL in 2007,FL GROUP,https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
"BAYROCK GROUP,Bayrock was ""one of the backers of the redevelopment of the 101-year-old Hotel du Parc on the shores of Lake Geneva owned by Swiss Development Group"" per the Financial Times,SWISS DEVELOPMENT GROUP,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923"
BAYROCK/SAPIR ORGANIZATION LLC,Co-owner,BAYROCK GROUP,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
BAYROCK/SAPIR ORGANIZATION LLC,Co-owner,SAPIR ORGANIZATION,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
BEDFORD HILLS CORP.,Ownership,SEVEN SPRINGS LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
BLACKROCK,Owns collateralized debt,40 WALL STREET LLC,Morningstar analysis
BNY MELLON,Loan,FIFTY-SEVENTH STREET ASSOCIATES LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
BRACEWELL,NKA/FKA,BRACEWELL & GIULIANI LLP,http://blogs.wsj.com/law/2016/01/19/bracewell-giuliani-is-losing-giuliani/
BRIARCLIFF PROPERTIES INC.,Ownership,TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
